==========================================================================================================================================================================
                                                                 PLATAFORMA DE STREAMING TP
                                                       DETALLE COMPLETO DE REPRODUCCIONES DE STREAMS ORDENADO POR IDIOMA Y TASA DROP-OFF.
==========================================================================================================================================================================
    STREAM         IDIOMA      CATEGORIA         REP.ANTIGUA        REP.RECIENTE        PROM.RAT.CAL       PROM.TASA.DROP-OFF         DURAC.         #REPR.      TOT.REPR.
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    532197         4013         W1033           17/07/2025           03/08/2025            13.93                0.24                 01:07:30          2         00:33:45
    867160         4013         S1095           20/07/2025           26/08/2025            25.51                3.50                 02:13:15          7         00:19:02
    417134         4013         G1043           30/07/2025           16/08/2025            14.20                3.76                 00:13:19          5         00:02:39
    282183         4013         V1064           17/07/2025           31/08/2025            31.45                5.13                 00:33:36          7         00:04:48
    888106         4013         W1042           17/07/2025           22/08/2025            29.23                5.80                 01:22:42          9         00:09:11
    614102         4009         C1084           28/07/2025           14/08/2025            17.12                1.43                 00:58:21          4         00:14:35
    531159         4009         Q1028           19/07/2025           25/08/2025            37.52                3.17                 00:29:06         10         00:02:54
    970129         4009         Q1023           17/07/2025           02/09/2025            18.83                4.21                 02:05:26          5         00:25:05
    657114         4003         C1072           18/07/2025           03/09/2025            15.51                2.29                 00:52:46          4         00:13:11
    884135         4003         M1088           30/07/2025           25/08/2025            19.71                2.90                 00:52:26          6         00:08:44
    253143         4003         B1096           28/07/2025           31/08/2025            28.81                3.51                 00:12:53          7         00:01:50
    413164         4003         B1047           16/07/2025           30/08/2025            23.25                3.56                 02:12:49          6         00:22:08
    939139         4003         G1043           19/07/2025           03/09/2025            39.03                5.55                 02:10:48         10         00:13:04
    610128         4003         C1062           16/07/2025           22/08/2025            29.67                5.69                 01:19:03          9         00:08:47
    803100         4003         C1072           22/07/2025           02/09/2025            46.10                8.05                 01:22:25         15         00:05:29
    925120         3071         E1057           15/08/2025           21/08/2025             7.00                1.26                 00:59:53          2         00:29:56
    990168         3071         Z1085           23/07/2025           01/09/2025            17.93                1.69                 00:19:44          4         00:04:56
    323169         3071         V1056           19/07/2025           29/08/2025            14.88                3.07                 01:55:36          4         00:28:54
    159152         3071         U1040           20/07/2025           21/08/2025            16.61                3.15                 01:06:43          5         00:13:20
    249101         3071         U1053           17/07/2025           09/08/2025            12.87                3.49                 02:03:07          4         00:30:46
    629118         3071         K1026           02/08/2025           24/08/2025            31.85                4.67                 00:02:49          8         00:00:21
    576104         3071         O1070           20/07/2025           03/09/2025            25.19                5.70                 02:11:48          8         00:16:28
    125190         3019         O1049           17/07/2025           31/08/2025            12.94                2.50                 00:45:39          4         00:11:24
    323171         3019         B1075           15/07/2025           15/08/2025            26.16                2.59                 00:10:41          6         00:01:46
    165107         3019         Q1021           15/07/2025           31/07/2025            12.29                3.88                 00:48:56          4         00:12:14
