                              REPORTE DE PRUEBA DE CARGA DE DATOS
====================================================================================================
No.      PLATO    CANTIDAD VENDIDA    PRECIO       INGRESO BRUTO       DESCUENTO         TOTAL
----------------------------------------------------------------------------------------------------
001)     90766           67           25.90           1735.30              -           1735.30
002)     90758           53           25.90           1372.70             7.08%        1275.51
003)     90365           22           25.90            569.80              -            569.80
004)     77971           63           23.90           1505.70              -           1505.70
005)     77910          170           22.90           3893.00              -           3893.00
006)     77894           26           32.90            855.40             5.74%         806.30
007)     77762           20           23.90            478.00              -            478.00
008)     77703           81           24.90           2016.90              -           2016.90
009)     77691           32           23.90            764.80              -            764.80
010)     77690           79           32.90           2599.10              -           2599.10
011)     77606          106           24.90           2639.40            19.98%        2112.05
012)     77572          101           18.90           1908.90              -           1908.90
013)     77549           71           18.90           1341.90            19.71%        1077.41
014)     77493          199           23.90           4756.10            12.78%        4148.27
015)     77487           88           24.90           2191.20             9.72%        1978.22
016)     77419            4           31.90            127.60              -            127.60
017)     77381          131           32.90           4309.90              -           4309.90
018)     77214           58           22.90           1328.20              -           1328.20
019)     77156           54           22.90           1236.60            13.52%        1069.41
020)     73500           77           12.90            993.30              -            993.30
021)     73428          121           19.50           2359.50              -           2359.50
022)     73410           32           12.90            412.80              -            412.80
023)     55338           61           22.90           1396.90             9.46%        1264.75
024)     55330           64           24.90           1593.60             6.30%        1493.20
025)     53991           42            3.90            163.80              -            163.80
026)     53957           23           10.90            250.70              -            250.70
027)     53939           39            4.90            191.10              -            191.10
028)     53814          120            9.90           1188.00            10.91%        1058.39
029)     53764           43            6.90            296.70            10.57%         265.34
030)     53760           33            6.90            227.70            10.76%         203.20
031)     53546           85            9.90            841.50             7.19%         781.00
032)     53518          183           15.90           2909.70              -           2909.70
033)     53502           22           15.90            349.80            10.81%         311.99
034)     53477           36           15.90            572.40            13.60%         494.55
035)     53377          125            3.90            487.50              -            487.50
036)     53265          208           12.90           2683.20              -           2683.20
037)     39987           21           15.50            325.50              -            325.50
038)     39955          196           73.90          14484.40            14.83%       12336.36
039)     39903           78           10.50            819.00            13.99%         704.42
040)     39896            9          128.90           1160.10              -           1160.10
041)     39864           44            7.00            308.00            10.52%         275.60
042)     39851           96           73.90           7094.40            16.73%        5907.51
043)     39810           28           71.90           2013.20              -           2013.20
044)     39747           73            7.00            511.00             9.03%         464.86
045)     39738          105           18.90           1984.50              -           1984.50
046)     39695          164           36.90           6051.60            19.63%        4863.67
047)     39584          181           15.50           2805.50            13.44%        2428.44
048)     39536          206           15.50           3193.00              -           3193.00
049)     39489           45            7.00            315.00              -            315.00
050)     39475           66           71.90           4745.40            18.66%        3859.91
051)     39442           30           21.90            657.00            11.88%         578.95
052)     39431          167           12.50           2087.50            11.05%        1856.83
053)     39265          132           49.90           6586.80             8.70%        6013.75
054)     39227           91            7.00            637.00              -            637.00
055)     39199          102           10.50           1071.00              -           1071.00
056)     39160          179           15.50           2774.50            17.39%        2292.01
057)     39141           57           21.90           1248.30             6.80%        1163.42
058)     39137           60           12.00            720.00              -            720.00
059)     31815           95           30.90           2935.50              -           2935.50
060)     31796           40           31.90           1276.00            19.94%        1021.57
061)     31644           40           33.90           1356.00              -           1356.00
062)     15950           63           43.90           2765.70             8.90%        2519.55
063)     15945           19           48.90            929.10              -            929.10
064)     15926           22           49.90           1097.80             5.90%        1033.03
065)     15921           47           29.50           1386.50            16.09%        1163.41
066)     15864          102           32.50           3315.00            16.73%        2760.40
067)     15823          102           36.90           3763.80              -           3763.80
068)     15760           42           34.50           1449.00              -           1449.00
069)     15756           58           50.90           2952.20              -           2952.20
070)     15745           93           48.90           4547.70            14.48%        3889.19
071)     15724          165           31.50           5197.50              -           5197.50
072)     15665           84           50.90           4275.60            18.94%        3465.80
073)     15621           90           33.50           3015.00            13.94%        2594.71
074)     15611           40           46.90           1876.00              -           1876.00
075)     15608           67           27.90           1869.30              -           1869.30
076)     15592           15           33.90            508.50              -            508.50
077)     15578           72           33.50           2412.00              -           2412.00
078)     15539            4           21.90             87.60            13.99%          75.34
079)     15525           66           58.50           3861.00            18.60%        3142.85
080)     15510           19           35.90            682.10            14.80%         581.15
081)     15488           13           16.90            219.70            16.67%         183.08
082)     15479          106           51.90           5501.40              -           5501.40
083)     15419           72           37.90           2728.80              -           2728.80
084)     15404           27           17.90            483.30              -            483.30
085)     15392           38           18.90            718.20              -            718.20
086)     15378           57           33.50           1909.50              -           1909.50
087)     15365          105           44.90           4714.50             5.28%        4465.57
088)     15326           16           36.90            590.40            18.31%         482.30
089)     15319          104           47.90           4981.60              -           4981.60
090)     15297           73           51.90           3788.70              -           3788.70
091)     15283           73           33.50           2445.50              -           2445.50
092)     15272           16           59.90            958.40             7.45%         887.00
093)     15197          129           47.50           6127.50            11.82%        5403.23
094)     15153           60           18.90           1134.00            19.04%         918.09
095)     15142           63           52.90           3332.70             7.47%        3083.75
096)     15136          128           60.50           7744.00             5.45%        7321.95
097)     15116          163           49.90           8133.70             9.18%        7387.03
098)     11871           83           54.90           4556.70            11.86%        4016.28
099)     11850           76           53.90           4096.40              -           4096.40
100)     11751           95            8.90            845.50              -            845.50
101)     11731           47            8.90            418.30              -            418.30
102)     11692           58           89.90           5214.20            17.36%        4309.01
103)     11621           20           15.90            318.00            11.30%         282.07
104)     11620           51           15.90            810.90              -            810.90
105)     11611           74           15.90           1176.60            15.19%         997.87
106)     11500           17          128.90           2191.30              -           2191.30
107)     11471          120            8.90           1068.00              -           1068.00
108)     11283           22           14.90            327.80            17.72%         269.71
109)     11172           39           15.90            620.10             5.53%         585.81
110)     11171           55           15.90            874.50            19.42%         704.67
